DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PUEHOM;PUEMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
1.0;0101;4.0;2013.0;11.0;3.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;52;NEOG
1.0;0101;9.0;2013.0;3.0;5.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;52;NEOG
4.0;0416;6.0;2013.0;27.0;5.0;4.0;0401;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;52;NEOG
21.0;2101;10.0;2013.0;10.0;9.0;21.0;2101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;52;NEOG
1.0;0101;11.0;2013.0;10.0;10.0;1.0;0101;33.0;34.0;9.0;9.0;320.0;320.0;1.0;9.0;52;NEOG
9.0;0901;9.0;2013.0;28.0;8.0;9.0;0901;33.0;32.0;4.0;4.0;320.0;320.0;1.0;9.0;52;NEOG
1.0;0101;2.0;2014.0;30.0;9.0;1.0;0101;42.0;29.0;4.0;9.0;320.0;320.0;4.0;9.0;52;NEOG
5.0;0501;9.0;2013.0;15.0;7.0;5.0;0501;51.0;50.0;9.0;9.0;320.0;320.0;9.0;9.0;61;NEOG
1.0;0108;10.0;2013.0;5.0;9.0;1.0;0101;28.0;34.0;9.0;9.0;320.0;320.0;9.0;9.0;61;NEOG
18.0;1805;2.0;2013.0;24.0;1.0;18.0;1801;30.0;31.0;9.0;9.0;320.0;320.0;9.0;9.0;61;NEOG
1.0;0114;4.0;2013.0;5.0;2.0;1.0;0114;33.0;28.0;9.0;9.0;320.0;320.0;9.0;9.0;61;NEOG
22.0;2201;1.0;2013.0;7.0;1.0;22.0;2201;31.0;27.0;9.0;9.0;320.0;320.0;9.0;9.0;61;NEOG
1.0;0117;8.0;2013.0;19.0;3.0;1.0;0115;31.0;25.0;9.0;9.0;320.0;320.0;9.0;9.0;61;NEOG
17.0;1712;6.0;2013.0;20.0;2.0;17.0;1712;29.0;34.0;1.0;4.0;320.0;320.0;9.0;9.0;61;NEOG
5.0;0505;9.0;2013.0;16.0;7.0;5.0;0501;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;61;NEOG
6.0;0601;2.0;2014.0;3.0;4.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;61;NEOG
11.0;1107;1.0;2014.0;2.0;9.0;11.0;1107;999.0;30.0;9.0;9.0;320.0;320.0;9.0;9.0;61;NEOG
11.0;1107;8.0;2013.0;28.0;6.0;11.0;1101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;61;NEOG
1.0;0108;11.0;2013.0;27.0;8.0;1.0;0101;39.0;47.0;9.0;9.0;320.0;320.0;1.0;9.0;71;NEOG
1.0;0101;10.0;2013.0;6.0;8.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;72;NEOG
1.0;0108;10.0;2013.0;30.0;7.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;72;NEOG
4.0;0415;10.0;2013.0;23.0;8.0;4.0;0401;999.0;999.0;4.0;4.0;320.0;320.0;1.0;9.0;72;NEOG
11.0;1101;6.0;2013.0;30.0;4.0;11.0;1101;37.0;18.0;4.0;9.0;320.0;320.0;4.0;9.0;72;NEOG
1.0;0101;6.0;2013.0;25.0;4.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;72;NEOG
1.0;0101;4.0;2013.0;28.0;2.0;1.0;0101;999.0;999.0;4.0;4.0;320.0;320.0;1.0;9.0;73;NEOG
1.0;0101;3.0;2013.0;5.0;2.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;74;NEOG
1.0;0101;4.0;2014.0;18.0;11.0;1.0;0101;32.0;23.0;4.0;9.0;320.0;320.0;4.0;9.0;74;NEOG
1.0;0103;5.0;2014.0;15.0;10.0;1.0;0103;30.0;26.0;4.0;4.0;1020.0;320.0;1.0;9.0;74;NEOG
1.0;0101;8.0;2013.0;20.0;6.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;83;NEOG
1.0;0101;1.0;2014.0;23.0;8.0;1.0;0101;36.0;33.0;4.0;9.0;320.0;320.0;4.0;9.0;83;NEOG
11.0;1101;7.0;2013.0;4.0;6.0;11.0;1101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;83;NEOG
1.0;0115;4.0;2013.0;30.0;1.0;1.0;0115;38.0;34.0;9.0;9.0;320.0;320.0;1.0;9.0;83;NEOG
1.0;0101;6.0;2013.0;8.0;3.0;1.0;0101;999.0;25.0;9.0;9.0;320.0;320.0;9.0;9.0;83;NEOG
1.0;0101;9.0;2013.0;8.0;3.0;1.0;0101;999.0;25.0;9.0;9.0;320.0;320.0;9.0;9.0;83;NEOG
1.0;0108;1.0;2014.0;27.0;8.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;83;NEOG
1.0;0101;2.0;2013.0;17.0;1.0;1.0;0101;51.0;39.0;4.0;9.0;320.0;320.0;4.0;9.0;92;NEOG
17.0;1703;12.0;2013.0;18.0;11.0;17.0;1703;81.0;33.0;4.0;4.0;320.0;320.0;1.0;9.0;92;NEOG
1.0;0101;3.0;2014.0;26.0;2.0;1.0;0101;32.0;28.0;4.0;9.0;320.0;320.0;4.0;9.0;95;NEOG
1.0;0101;2.0;2014.0;21.0;11.0;1.0;0108;30.0;29.0;9.0;9.0;320.0;124.0;9.0;9.0;NEOG;NEOG
1.0;0101;11.0;2013.0;25.0;6.0;1.0;0101;999.0;999.0;9.0;9.0;222.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;1.0;2014.0;2.0;10.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;3.0;2014.0;4.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;6.0;2014.0;6.0;9.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
18.0;1804;12.0;2013.0;13.0;11.0;17.0;1709;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;12.0;2013.0;15.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
9.0;0901;2.0;2014.0;20.0;12.0;9.0;0901;32.0;32.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0103;3.0;2014.0;15.0;3.0;1.0;0101;23.0;28.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
10.0;1001;5.0;2014.0;19.0;9.0;10.0;1004;29.0;27.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0102;1.0;2014.0;1.0;10.0;1.0;0101;31.0;26.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;1.0;2014.0;24.0;1.0;1.0;0101;31.0;25.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0115;12.0;2013.0;24.0;10.0;1.0;0115;29.0;24.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0115;12.0;2013.0;8.0;10.0;1.0;0115;26.0;24.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
5.0;0511;2.0;2014.0;12.0;6.0;5.0;0511;26.0;23.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
15.0;1502;2.0;2014.0;18.0;12.0;15.0;1502;25.0;21.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;7.0;2013.0;2.0;5.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;9.0;2013.0;8.0;4.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0115;8.0;2013.0;31.0;5.0;1.0;0115;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;2.0;2013.0;5.0;1.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;5.0;2013.0;24.0;4.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;7.0;2013.0;6.0;3.0;3.0;0301;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;8.0;2013.0;12.0;6.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;8.0;2013.0;18.0;7.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;8.0;2013.0;22.0;2.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;9.0;2013.0;2.0;8.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;9.0;2013.0;15.0;7.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;9.0;2013.0;28.0;5.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;10.0;2013.0;1.0;8.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;11.0;2013.0;4.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;4.0;2013.0;5.0;2.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;8.0;2013.0;25.0;6.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;9.0;2013.0;17.0;6.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;10.0;2013.0;19.0;9.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0108;4.0;2013.0;5.0;3.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
5.0;0501;4.0;2013.0;4.0;1.0;5.0;0501;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
6.0;0601;9.0;2013.0;21.0;8.0;6.0;0601;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
15.0;1503;5.0;2013.0;19.0;4.0;15.0;1501;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;10.0;2013.0;31.0;7.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
21.0;2101;8.0;2013.0;25.0;7.0;21.0;2101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;5.0;2013.0;16.0;1.0;1.0;0115;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
12.0;1201;8.0;2013.0;17.0;7.0;12.0;1201;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
8.0;0801;11.0;2013.0;1.0;10.0;8.0;0801;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
9.0;0901;10.0;2013.0;4.0;9.0;9.0;0901;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
11.0;1101;8.0;2013.0;23.0;7.0;11.0;1101;50.0;49.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;5.0;2013.0;8.0;4.0;22.0;2201;48.0;47.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;8.0;2013.0;30.0;5.0;1.0;0101;41.0;41.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
13.0;1301;11.0;2013.0;19.0;9.0;13.0;1301;39.0;38.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
6.0;0601;10.0;2013.0;17.0;7.0;1.0;0101;40.0;37.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;8.0;2013.0;3.0;6.0;1.0;0101;39.0;37.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;5.0;2013.0;9.0;5.0;1.0;0101;41.0;36.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;5.0;2013.0;7.0;5.0;1.0;0115;38.0;34.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;10.0;2013.0;16.0;8.0;1.0;0101;32.0;34.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
10.0;1001;10.0;2013.0;17.0;10.0;10.0;1001;34.0;32.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
3.0;0309;3.0;2013.0;16.0;1.0;5.0;0501;33.0;30.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;1.0;2013.0;11.0;1.0;1.0;0101;30.0;30.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;8.0;2013.0;9.0;7.0;1.0;0101;35.0;28.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
3.0;0308;4.0;2013.0;18.0;1.0;3.0;0301;32.0;28.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
6.0;0608;11.0;2013.0;20.0;9.0;6.0;0601;28.0;28.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
10.0;1001;7.0;2013.0;11.0;6.0;10.0;1001;28.0;28.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0110;4.0;2013.0;5.0;2.0;1.0;0101;35.0;26.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
17.0;1701;10.0;2013.0;24.0;9.0;17.0;1703;26.0;25.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0115;10.0;2013.0;15.0;8.0;1.0;0115;25.0;25.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
22.0;2201;6.0;2013.0;3.0;5.0;22.0;2201;29.0;23.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0109;6.0;2013.0;21.0;3.0;1.0;0101;28.0;23.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;11.0;2013.0;27.0;8.0;1.0;0101;26.0;23.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
22.0;2201;9.0;2013.0;6.0;8.0;22.0;2201;31.0;22.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;6.0;2013.0;5.0;4.0;1.0;0101;24.0;22.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0115;8.0;2013.0;16.0;4.0;1.0;0101;25.0;21.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;7.0;2013.0;3.0;5.0;1.0;0101;29.0;20.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
11.0;1101;7.0;2013.0;5.0;5.0;11.0;1101;20.0;17.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
11.0;1101;9.0;2013.0;5.0;5.0;11.0;1101;20.0;17.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
12.0;1215;11.0;2013.0;30.0;9.0;12.0;1215;999.0;999.0;1.0;1.0;320.0;320.0;9.0;9.0;NEOG;NEOG
9.0;0901;4.0;2014.0;14.0;8.0;9.0;0901;34.0;30.0;1.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;9.0;2013.0;2.0;7.0;1.0;0101;999.0;999.0;4.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;9.0;2013.0;31.0;7.0;1.0;0101;999.0;999.0;4.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
10.0;1001;6.0;2013.0;8.0;5.0;10.0;1001;999.0;999.0;4.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;10.0;2013.0;13.0;9.0;1.0;0101;45.0;40.0;4.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0102;11.0;2013.0;13.0;9.0;1.0;0101;45.0;40.0;4.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
9.0;0901;5.0;2013.0;17.0;5.0;8.0;0801;30.0;26.0;4.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0115;4.0;2013.0;20.0;3.0;1.0;0115;32.0;25.0;4.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
6.0;0601;11.0;2013.0;28.0;10.0;22.0;2201;33.0;24.0;4.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;8.0;2013.0;27.0;6.0;1.0;0101;29.0;23.0;4.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0106;4.0;2013.0;15.0;2.0;1.0;0101;24.0;23.0;4.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
5.0;0513;10.0;2013.0;2.0;7.0;5.0;0502;23.0;23.0;4.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;7.0;2013.0;3.0;5.0;1.0;0101;999.0;999.0;4.0;4.0;720.0;320.0;9.0;9.0;NEOG;NEOG
3.0;0301;4.0;2014.0;12.0;12.0;3.0;0301;25.0;23.0;4.0;4.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;3.0;2014.0;26.0;9.0;1.0;0115;22.0;22.0;9.0;9.0;320.0;222.0;3.0;9.0;NEOG;NEOG
1.0;0101;7.0;2013.0;3.0;6.0;1.0;0101;34.0;25.0;9.0;9.0;320.0;222.0;4.0;9.0;NEOG;NEOG
1.0;0101;6.0;2014.0;24.0;4.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;6.0;2014.0;25.0;11.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
16.0;1601;4.0;2014.0;16.0;7.0;16.0;1601;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
13.0;1301;4.0;2014.0;20.0;12.0;9.0;0901;999.0;37.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;7.0;2013.0;24.0;4.0;1.0;0101;31.0;25.0;5.0;4.0;320.0;320.0;5.0;9.0;NEOG;NEOG
1.0;0101;5.0;2013.0;29.0;4.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;6.0;2013.0;25.0;3.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;8.0;2013.0;31.0;7.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;9.0;2013.0;13.0;6.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;10.0;2013.0;19.0;7.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;5.0;2013.0;17.0;1.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;6.0;2013.0;29.0;4.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;7.0;2013.0;25.0;3.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
1.0;0101;7.0;2013.0;30.0;5.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;NEOG;NEOG
