Depreg;Mupreg;Mesreg;Anoreg;Diaocu;Mesocu;Anoocu;Depocu;Mupocu;Edadhom;Edadmuj;Gethom;Getmuj;Nachom;Nacmuj;Ocuhom;Ocumuj;Mever;Anover
1.0;0116;9.0;09;8.0;7.0;09;1.0;0101;19.0;15.0;9.0;9.0;320.0;320.0;9999.0;9999.0;10.0;2002.0
1.0;0116;11.0;09;8.0;7.0;09;1.0;0101;19.0;15.0;9.0;9.0;320.0;320.0;9999.0;9999.0;10.0;2002.0
1.0;0101;5.0;10;11.0;9.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;8.0;2002.0
1.0;0108;7.0;09;11.0;6.0;09;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9712.0;9712.0;7.0;2002.0
1.0;0101;3.0;10;13.0;2.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;8.0;2002.0
3.0;0301;5.0;09;13.0;3.0;09;1.0;0101;46.0;45.0;2.0;2.0;320.0;320.0;9999.0;9999.0;2.0;2002.0
1.0;0101;10.0;09;14.0;9.0;09;1.0;0101;32.0;31.0;9.0;9.0;320.0;31.0;5221.0;2341.0;3.0;2002.0
5.0;0501;4.0;09;15.0;1.0;09;1.0;0101;999.0;31.0;9.0;9.0;320.0;320.0;9998.0;9711.0;10.0;2002.0
1.0;0108;5.0;09;15.0;1.0;09;1.0;0101;22.0;999.0;9.0;9.0;320.0;320.0;9712.0;9712.0;11.0;2002.0
1.0;0108;9.0;09;15.0;7.0;09;1.0;0101;33.0;29.0;9.0;9.0;320.0;320.0;3435.0;2341.0;10.0;2002.0
1.0;0101;6.0;10;16.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;2.0;2002.0
4.0;0404;11.0;09;16.0;2.0;09;1.0;0101;25.0;18.0;9.0;9.0;320.0;320.0;9712.0;9712.0;3.0;2002.0
1.0;0108;11.0;09;16.0;10.0;09;1.0;0101;26.0;25.0;9.0;9.0;320.0;320.0;9712.0;4311.0;11.0;2002.0
18.0;1804;12.0;09;17.0;11.0;09;1.0;0101;23.0;23.0;9.0;9.0;320.0;320.0;9999.0;9999.0;2.0;2002.0
1.0;0103;2.0;10;17.0;9.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;10.0;2002.0
1.0;0116;11.0;09;18.0;9.0;09;1.0;0101;21.0;16.0;9.0;9.0;320.0;320.0;9999.0;9999.0;6.0;2002.0
1.0;0116;1.0;10;18.0;9.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;6.0;2002.0
1.0;0106;9.0;09;19.0;8.0;09;1.0;0101;21.0;27.0;9.0;9.0;320.0;320.0;9999.0;9999.0;10.0;2002.0
1.0;0101;6.0;10;20.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;6.0;2002.0
3.0;0308;3.0;10;21.0;9.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;12.0;2002.0
1.0;0117;3.0;10;23.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;2.0;2002.0
1.0;0108;4.0;09;23.0;2.0;09;1.0;0101;36.0;25.0;2.0;2.0;320.0;320.0;9998.0;3343.0;5.0;2002.0
1.0;0108;10.0;09;23.0;7.0;09;1.0;0101;23.0;21.0;9.0;9.0;320.0;320.0;9712.0;9712.0;11.0;2002.0
2.0;0205;1.0;10;24.0;9.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;12.0;2002.0
1.0;0108;7.0;09;25.0;2.0;09;1.0;0101;33.0;31.0;2.0;9.0;320.0;320.0;3513.0;3343.0;12.0;2002.0
1.0;0101;5.0;10;26.0;8.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;7.0;2002.0
13.0;1316;1.0;10;26.0;8.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;7.0;2002.0
1.0;0101;8.0;09;28.0;4.0;09;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9712.0;9712.0;11.0;2002.0
3.0;0308;1.0;10;28.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;11.0;2002.0
1.0;0114;10.0;09;29.0;9.0;09;1.0;0101;999.0;19.0;9.0;9.0;320.0;320.0;9999.0;9999.0;7.0;2002.0
1.0;0117;3.0;10;30.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;6.0;2002.0
21.0;2107;6.0;09;30.0;3.0;09;1.0;0101;20.0;19.0;9.0;9.0;320.0;320.0;6111.0;9711.0;7.0;2002.0
1.0;0110;8.0;09;31.0;7.0;09;1.0;0101;20.0;22.0;9.0;9.0;320.0;320.0;4311.0;9712.0;12.0;2002.0
1.0;0101;11.0;09;2.0;6.0;09;1.0;0101;39.0;31.0;9.0;9.0;320.0;320.0;9712.0;9712.0;10.0;2003.0
1.0;0101;11.0;09;2.0;9.0;09;1.0;0101;999.0;28.0;9.0;9.0;320.0;320.0;9712.0;9712.0;9.0;2003.0
16.0;1601;2.0;10;3.0;9.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;2.0;2003.0
1.0;0106;8.0;09;3.0;8.0;09;1.0;0101;21.0;20.0;9.0;9.0;320.0;320.0;9999.0;9999.0;2.0;2003.0
5.0;0507;12.0;09;3.0;11.0;09;1.0;0101;21.0;21.0;9.0;9.0;320.0;320.0;9999.0;9999.0;5.0;2003.0
1.0;0110;10.0;09;4.0;8.0;09;1.0;0101;40.0;42.0;2.0;9.0;320.0;320.0;4311.0;9712.0;9.0;2003.0
1.0;0101;3.0;10;5.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;7.0;2003.0
1.0;0108;2.0;10;5.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;10.0;2003.0
1.0;0107;3.0;10;6.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;4.0;2003.0
1.0;0101;9.0;09;8.0;5.0;09;1.0;0101;26.0;28.0;9.0;9.0;320.0;320.0;9712.0;9712.0;7.0;2003.0
3.0;0308;7.0;09;8.0;5.0;09;1.0;0101;29.0;25.0;9.0;9.0;320.0;320.0;9712.0;9712.0;11.0;2003.0
1.0;0101;3.0;10;9.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;10.0;2003.0
1.0;0115;6.0;10;10.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;12.0;2003.0
20.0;2005;10.0;09;12.0;8.0;09;1.0;0101;25.0;30.0;2.0;2.0;320.0;320.0;9998.0;9998.0;10.0;2003.0
3.0;0308;7.0;09;13.0;2.0;09;1.0;0101;28.0;21.0;9.0;9.0;320.0;320.0;9712.0;9712.0;7.0;2003.0
19.0;1901;11.0;09;13.0;8.0;09;1.0;0101;21.0;24.0;9.0;9.0;320.0;320.0;9712.0;9712.0;12.0;2003.0
5.0;0506;1.0;10;15.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;12.0;2003.0
1.0;0108;10.0;09;15.0;5.0;09;1.0;0101;31.0;29.0;9.0;9.0;320.0;320.0;9712.0;9712.0;11.0;2003.0
1.0;0108;9.0;09;17.0;7.0;09;1.0;0101;19.0;19.0;9.0;9.0;320.0;320.0;9712.0;9712.0;6.0;2003.0
1.0;0108;11.0;09;17.0;9.0;09;1.0;0101;22.0;20.0;9.0;9.0;320.0;320.0;9712.0;9712.0;5.0;2003.0
1.0;0101;5.0;09;21.0;4.0;09;1.0;0101;33.0;24.0;9.0;9.0;320.0;320.0;9712.0;9712.0;6.0;2003.0
1.0;0101;2.0;10;21.0;9.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;12.0;2003.0
1.0;0116;10.0;09;21.0;7.0;09;1.0;0101;25.0;34.0;2.0;2.0;320.0;320.0;6111.0;9711.0;5.0;2003.0
1.0;0108;10.0;09;21.0;4.0;09;1.0;0101;28.0;24.0;9.0;9.0;320.0;320.0;4311.0;3412.0;8.0;2003.0
1.0;0102;4.0;09;22.0;1.0;09;1.0;0101;21.0;20.0;9.0;9.0;320.0;320.0;9999.0;9999.0;3.0;2003.0
1.0;0108;2.0;10;22.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;9.0;2003.0
7.0;0704;12.0;09;22.0;5.0;09;1.0;0101;27.0;18.0;9.0;9.0;320.0;320.0;2341.0;9711.0;1.0;2003.0
1.0;0108;6.0;09;27.0;1.0;09;1.0;0101;35.0;32.0;9.0;9.0;320.0;320.0;4311.0;3343.0;12.0;2003.0
1.0;0108;12.0;09;27.0;4.0;09;1.0;0101;28.0;23.0;9.0;9.0;320.0;320.0;9712.0;9712.0;10.0;2003.0
1.0;0108;2.0;09;28.0;1.0;09;1.0;0101;28.0;28.0;9.0;9.0;50.0;320.0;2141.0;2141.0;6.0;2003.0
1.0;0108;10.0;09;28.0;8.0;09;1.0;0101;999.0;22.0;9.0;9.0;320.0;320.0;9712.0;9712.0;2.0;2003.0
1.0;0101;3.0;10;30.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;6.0;2003.0
1.0;0106;8.0;09;30.0;7.0;09;1.0;0101;21.0;17.0;9.0;9.0;320.0;320.0;9999.0;9999.0;4.0;2003.0
22.0;2203;6.0;09;30.0;4.0;09;1.0;0101;20.0;21.0;9.0;9.0;320.0;320.0;9712.0;9999.0;12.0;2003.0
1.0;0108;12.0;09;30.0;3.0;09;1.0;0101;42.0;29.0;9.0;9.0;320.0;320.0;2141.0;9712.0;4.0;2003.0
1.0;0108;12.0;09;3.0;9.0;09;1.0;0101;29.0;31.0;9.0;9.0;320.0;320.0;7132.0;9712.0;8.0;2004.0
1.0;0101;10.0;09;4.0;9.0;09;1.0;0101;27.0;999.0;9.0;9.0;320.0;320.0;9712.0;9712.0;3.0;2004.0
6.0;0605;6.0;09;6.0;3.0;09;1.0;0101;29.0;20.0;2.0;2.0;320.0;320.0;9999.0;9999.0;7.0;2004.0
3.0;0308;11.0;09;6.0;10.0;09;1.0;0101;29.0;26.0;9.0;9.0;320.0;320.0;9999.0;9999.0;11.0;2004.0
21.0;2101;6.0;09;6.0;3.0;09;1.0;0101;24.0;20.0;9.0;9.0;320.0;320.0;9712.0;9712.0;7.0;2004.0
1.0;0116;10.0;09;7.0;9.0;09;1.0;0101;23.0;22.0;2.0;2.0;320.0;320.0;9999.0;9999.0;8.0;2004.0
1.0;0113;1.0;10;7.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;4.0;2004.0
3.0;0308;10.0;09;7.0;9.0;09;1.0;0101;32.0;26.0;9.0;9.0;320.0;320.0;9999.0;9999.0;8.0;2004.0
1.0;0116;10.0;09;8.0;7.0;09;1.0;0101;26.0;26.0;9.0;9.0;320.0;320.0;9712.0;9712.0;6.0;2004.0
1.0;0113;4.0;10;8.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;2.0;2004.0
1.0;0103;7.0;09;8.0;6.0;09;1.0;0101;999.0;21.0;9.0;9.0;320.0;320.0;9999.0;9999.0;3.0;2004.0
1.0;0108;12.0;09;9.0;3.0;09;1.0;0101;23.0;21.0;9.0;9.0;320.0;320.0;9712.0;9712.0;10.0;2004.0
1.0;0108;5.0;10;9.0;6.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;11.0;2004.0
1.0;0113;2.0;10;10.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;4.0;2004.0
1.0;0101;12.0;09;11.0;9.0;09;1.0;0101;28.0;30.0;9.0;9.0;320.0;320.0;9712.0;9712.0;4.0;2004.0
1.0;0106;4.0;10;11.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;8.0;2004.0
1.0;0108;4.0;09;12.0;3.0;09;1.0;0101;22.0;17.0;9.0;9.0;320.0;320.0;9712.0;9712.0;1.0;2004.0
1.0;0106;5.0;09;13.0;2.0;09;1.0;0101;29.0;23.0;9.0;9.0;320.0;320.0;9999.0;9999.0;3.0;2004.0
1.0;0106;4.0;10;13.0;2.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;11.0;2004.0
1.0;0108;6.0;09;13.0;5.0;09;1.0;0101;56.0;31.0;9.0;9.0;320.0;320.0;9998.0;3435.0;12.0;2004.0
1.0;0116;3.0;10;15.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;3.0;2004.0
1.0;0106;11.0;09;15.0;5.0;09;1.0;0101;27.0;24.0;9.0;9.0;320.0;320.0;9999.0;9999.0;10.0;2004.0
3.0;0301;12.0;09;15.0;6.0;09;1.0;0101;21.0;999.0;9.0;9.0;320.0;320.0;9999.0;9999.0;3.0;2004.0
1.0;0108;5.0;09;15.0;4.0;09;1.0;0101;999.0;21.0;2.0;9.0;320.0;320.0;9712.0;9712.0;4.0;2004.0
1.0;0108;11.0;09;15.0;6.0;09;1.0;0101;21.0;22.0;9.0;9.0;320.0;320.0;4311.0;9712.0;7.0;2004.0
19.0;1904;2.0;09;15.0;1.0;09;1.0;0101;28.0;20.0;2.0;2.0;320.0;320.0;9712.0;9711.0;11.0;2004.0
1.0;0116;3.0;09;16.0;2.0;09;1.0;0101;25.0;999.0;9.0;9.0;320.0;320.0;9999.0;9999.0;12.0;2004.0
1.0;0101;12.0;09;17.0;11.0;09;1.0;0101;25.0;23.0;9.0;9.0;320.0;320.0;9712.0;9712.0;12.0;2004.0
17.0;1703;2.0;10;18.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;12.0;2004.0
1.0;0116;5.0;09;19.0;3.0;09;1.0;0101;28.0;23.0;9.0;9.0;320.0;320.0;9712.0;9712.0;4.0;2004.0
1.0;0117;6.0;09;19.0;5.0;09;1.0;0101;29.0;29.0;2.0;2.0;320.0;320.0;9999.0;9999.0;2.0;2004.0
5.0;0509;8.0;09;20.0;7.0;09;1.0;0101;25.0;20.0;2.0;9.0;320.0;320.0;9712.0;9711.0;3.0;2004.0
20.0;2001;2.0;09;20.0;1.0;09;1.0;0101;32.0;28.0;9.0;9.0;320.0;320.0;3412.0;9711.0;8.0;2004.0
1.0;0101;6.0;09;22.0;4.0;09;1.0;0101;33.0;999.0;9.0;9.0;320.0;320.0;9712.0;9999.0;12.0;2004.0
1.0;0116;5.0;09;22.0;4.0;09;1.0;0101;25.0;25.0;9.0;9.0;320.0;320.0;5221.0;9712.0;10.0;2004.0
1.0;0108;8.0;09;22.0;5.0;09;1.0;0101;26.0;24.0;9.0;9.0;320.0;320.0;9712.0;9712.0;11.0;2004.0
1.0;0117;5.0;09;23.0;2.0;09;1.0;0101;29.0;25.0;2.0;2.0;320.0;320.0;9712.0;9712.0;5.0;2004.0
1.0;0117;2.0;10;23.0;2.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;5.0;2004.0
1.0;0117;3.0;09;24.0;2.0;09;1.0;0101;26.0;28.0;9.0;9.0;320.0;320.0;9712.0;9712.0;12.0;2004.0
1.0;0117;4.0;09;24.0;2.0;09;1.0;0101;26.0;28.0;9.0;9.0;320.0;320.0;9712.0;9712.0;12.0;2004.0
1.0;0117;4.0;10;24.0;8.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;6.0;2004.0
1.0;0110;12.0;09;24.0;9.0;09;1.0;0101;25.0;27.0;9.0;9.0;320.0;320.0;9712.0;9712.0;7.0;2004.0
1.0;0116;3.0;09;27.0;1.0;09;1.0;0101;25.0;999.0;9.0;2.0;320.0;320.0;9712.0;9712.0;1.0;2004.0
1.0;0106;8.0;09;27.0;4.0;09;1.0;0101;20.0;24.0;9.0;9.0;320.0;320.0;9999.0;9999.0;7.0;2004.0
1.0;0101;6.0;10;30.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;5.0;2004.0
1.0;0108;12.0;09;4.0;11.0;09;1.0;0101;33.0;27.0;9.0;9.0;320.0;320.0;2141.0;3343.0;12.0;2005.0
1.0;0113;4.0;09;6.0;3.0;09;1.0;0101;999.0;999.0;9.0;9.0;64.0;320.0;2353.0;9712.0;8.0;2005.0
1.0;0103;4.0;10;12.0;8.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;1.0;2005.0
1.0;0101;4.0;09;16.0;1.0;09;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;2142.0;9712.0;3.0;2005.0
1.0;0108;3.0;09;16.0;2.0;09;1.0;0101;60.0;999.0;9.0;9.0;320.0;320.0;8322.0;9711.0;2.0;2005.0
18.0;1803;6.0;09;17.0;2.0;09;1.0;0101;999.0;20.0;9.0;9.0;320.0;320.0;9999.0;9999.0;2.0;2005.0
